INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	CASRN	SMILES
1,3-Cyclopentadiene	Approved Name	DTXSID0027191	1,3-Cyclopentadiene	542-92-7	C1C=CC=C1
Hexadecane	Approved Name	DTXSID0027195	Hexadecane	544-76-3	CCCCCCCCCCCCCCCC
N-Methylphthalimide	Approved Name	DTXSID5027198	N-Methylphthalimide	550-44-7	CN1C(=O)C2=C(C=CC=C2)C1=O
4,4'-Bipyridine	Approved Name	DTXSID2027200	4,4'-Bipyridine	553-26-4	C1=CC(=CC=N1)C1=CC=NC=C1
Methyl isothiocyanate	Approved Name	DTXSID2027204	Methyl isothiocyanate	556-61-6	CN=C=S
Octamethylcyclotetrasiloxane	Approved Name	DTXSID7027205	Octamethylcyclotetrasiloxane	556-67-2	C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1
2,6-Diethylaniline	Approved Name	DTXSID6027218	2,6-Diethylaniline	579-66-8	CCC1=CC=CC(CC)=C1N
Terpinolene	Approved Name	DTXSID0027222	Terpinolene	586-62-9	CC(C)=C1CCC(C)=CC1
2,3-Dinitrotoluene	Approved Name	DTXSID4027236	2,3-Dinitrotoluene	602-01-7	CC1=CC=CC(=C1[N+]([O-])=O)[N+]([O-])=O
2-Pyrrolidinone	Approved Name	DTXSID8027246	2-Pyrrolidinone	616-45-5	O=C1CCCN1
Isopropyl formate	Approved Name	DTXSID2027258	Isopropyl formate	625-55-8	CC(C)OC=O
Pentyl acetate	Approved Name	DTXSID1027263	Pentyl acetate	628-63-7	CCCCCOC(C)=O
Pentadecane	Approved Name	DTXSID6027268	Pentadecane	629-62-9	CCCCCCCCCCCCCCC
1-Pentadecanol	Approved Name	DTXSID0027270	1-Pentadecanol	629-76-5	CCCCCCCCCCCCCCCO
Phenyl phosphorus dichloride	Approved Name	DTXSID4027282	Phenyl phosphorus dichloride	644-97-3	ClP(Cl)C1=CC=CC=C1
Dibutyltin dichloride	Approved Name	DTXSID8027292	Dibutyltin dichloride	683-18-1	CCCC[Sn](Cl)(Cl)CCCC
Dimethyltin dichloride	Approved Name	DTXSID5027304	Dimethyltin dichloride	753-73-1	C[Sn](C)(Cl)Cl
1-Phenoxy-2-propanol	Approved Name	DTXSID9027312	1-Phenoxy-2-propanol	770-35-4	CC(O)COC1=CC=CC=C1
Sodium 4-nitrophenolate	Approved Name	DTXSID3027320	Sodium 4-nitrophenolate	824-78-2	[Na+].[O-]C1=CC=C(C=C1)[N+]([O-])=O
3-Aminopropyltriethoxysilane	Approved Name	DTXSID2027333	3-Aminopropyltriethoxysilane	919-30-2	CCO[Si](CCCN)(OCC)OCC
Triphenylborane	Approved Name	DTXSID6027345	Triphenylborane	960-71-4	C1=CC=C(C=C1)B(C1=CC=CC=C1)C1=CC=CC=C1
Tris(2-methoxyethoxy)vinylsilane	Approved Name	DTXSID5027356	Tris(2-methoxyethoxy)vinylsilane	1067-53-4	COCCO[Si](OCCOC)(OCCOC)C=C
Ammonium carbamate	Approved Name	DTXSID9027360	Ammonium carbamate	1111-78-0	[NH4+].NC([O-])=O
N,N-Dimethyloctanamide	Approved Name	DTXSID9027364	N,N-Dimethyloctanamide	1118-92-9	CCCCCCCC(=O)N(C)C
1-Tetradecene	Approved Name	DTXSID4027367	1-Tetradecene	1120-36-1	CCCCCCCCCCCCC=C
Dimethylaniline	Approved Name	DTXSID8027377	Dimethylaniline	1300-73-8	C*.C*.NC1=CC=CC=C1 |c:5,7,t:3,lp:4:1,m:1:9.10,3:6.7.8.9|
Diisooctyl adipate	Approved Name	DTXSID7027388	Diisooctyl adipate	1330-86-5	-
Phenolsulfonic acid	Approved Name	DTXSID1027390	Phenolsulfonic acid	1333-39-7	C*.OS(=O)(=O)C1=CC=CC=C1 |c:7,9,t:5,lp:2:2,4:2,5:2,m:1:9.10.11|
Sorbitan, mono-(9Z)-9-octadecenoate	Approved Name	DTXSID6027397	Sorbitan, mono-(9Z)-9-octadecenoate	1338-43-8	CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@@H](O)[C@H]1OC[C@H](O)[C@H]1O
Dimethyl isophthalate	Approved Name	DTXSID8027402	Dimethyl isophthalate	1459-93-4	COC(=O)C1=CC(=CC=C1)C(=O)OC
Tributyltin chloride	Approved Name	DTXSID3027403	Tributyltin chloride	1461-22-9	CCCC[Sn](Cl)(CCCC)CCCC
3,6,9,12-Tetraoxahexadecan-1-ol	Approved Name	DTXSID2027412	3,6,9,12-Tetraoxahexadecan-1-ol	1559-34-8	CCCCOCCOCCOCCOCCO
2,3-Dihydro-2,2-dimethyl-7-benzofuranol	Approved Name	DTXSID2027414	2,3-Dihydro-2,2-dimethyl-7-benzofuranol	1563-38-8	CC1(C)CC2=C(O1)C(O)=CC=C2
Cyclododecanol	Approved Name	DTXSID1027429	Cyclododecanol	1724-39-6	OC1CCCCCCCCCCC1
N-[3-(Trimethoxysilyl)propyl]ethane-1,2-diamine	Approved Name	DTXSID5027433	N-[3-(Trimethoxysilyl)propyl]ethane-1,2-diamine	1760-24-3	CO[Si](CCCNCCN)(OC)OC
Octabenzone	Approved Name	DTXSID9027441	Octabenzone	1843-05-6	CCCCCCCCOC1=CC(O)=C(C=C1)C(=O)C1=CC=CC=C1
N,N-Dimethylacetoacetamide	Approved Name	DTXSID8027454	N,N-Dimethylacetoacetamide	2044-64-6	CN(C)C(=O)CC(C)=O
Thiocarbazide	Approved Name	DTXSID7027461	Thiocarbazide	2231-57-4	NNC(=S)NN
UT-632	Synonym	DTXSID2027466	ECC	2386-87-0	O=C(OCC1CCC2OC2C1)C1CCC2OC2C1
2-(2H-Benzotriazol-2-yl)-4-methylphenol	Approved Name	DTXSID1027479	2-(2H-Benzotriazol-2-yl)-4-methylphenol	2440-22-4	CC1=CC(N2N=C3C=CC=CC3=N2)=C(O)C=C1
2,3-Diaminotoluene	Approved Name	DTXSID4027494	2,3-Diaminotoluene	2687-25-4	CC1=C(N)C(N)=CC=C1
2,4-D sodium salt	Approved Name	DTXSID4027496	2,4-D sodium salt	2702-72-9	[Na+].[O-]C(=O)COC1=C(Cl)C=C(Cl)C=C1
2-Propoxyethanol	Approved Name	DTXSID1027500	2-Propoxyethanol	2807-30-9	CCCOCCO
Octrizole	Approved Name	DTXSID9027522	Octrizole	3147-75-9	CC(C)(C)CC(C)(C)C1=CC(N2N=C3C=CC=CC3=N2)=C(O)C=C1
Potassium 2-ethylhexanoate	Approved Name	DTXSID4027525	Potassium 2-ethylhexanoate	3164-85-0	[K+].CCCCC(CC)C([O-])=O
1,2,5,6,9,10-Hexabromocyclododecane	Approved Name	DTXSID4027527	1,2,5,6,9,10-Hexabromocyclododecane	3194-55-6	BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br
3-(Methylthio)propanal	Approved Name	DTXSID9027528	3-(Methylthio)propanal	3268-49-3	CSCCC=O
N-Butylbenzenesulfonamide	Approved Name	DTXSID7027540	N-Butylbenzenesulfonamide	3622-84-2	CCCCNS(=O)(=O)C1=CC=CC=C1
Sodium chloroacetate	Approved Name	DTXSID1027550	Sodium chloroacetate	3926-62-3	[Na+].[O-]C(=O)CCl
1,5,9-Cyclododecatriene	Approved Name	DTXSID8027581	1,5,9-Cyclododecatriene	4904-61-4	C1CC=CCCC=CCCC=C1
4-Chlorobenzotrichloride	Approved Name	DTXSID2027593	4-Chlorobenzotrichloride	5216-25-1	ClC1=CC=C(C=C1)C(Cl)(Cl)Cl
Terbuthylazine	Integrated Source Name	DTXSID4027608	Terbutylazine	5915-41-3	CCNC1=NC(NC(C)(C)C)=NC(Cl)=N1
Bis(2-ethylhexyl) terephthalate	Approved Name	DTXSID7027625	Bis(2-ethylhexyl) terephthalate	6422-86-2	CCCCC(CC)COC(=O)C1=CC=C(C=C1)C(=O)OCC(CC)CCCC
Irganox 1010	Approved Name	DTXSID1027633	Irganox 1010	6683-19-8	CC(C)(C)C1=CC(CCC(=O)OCC(COC(=O)CCC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)(COC(=O)CCC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)COC(=O)CCC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)=CC(=C1O)C(C)(C)C
2,2,4-Trimethyl-1,3-pentanediol diisobutyrate	Approved Name	DTXSID1027635	2,2,4-Trimethyl-1,3-pentanediol diisobutyrate	6846-50-0	CC(C)C(OC(=O)C(C)C)C(C)(C)COC(=O)C(C)C
Malic acid	Approved Name	DTXSID0027640	Malic acid	6915-15-7	OC(CC(O)=O)C(O)=O
Dimethyldiallylammonium chloride	Synonym	DTXSID4027650	Diallyldimethylammonium chloride	7398-69-8	[Cl-].C[N+](C)(CC=C)CC=C
2-Ethylhexyl sulfanylacetate	Expert Validated Synonym	DTXSID4027656	2-Ethylhexyl thioglycolate	7659-86-1	CCCCC(CC)COC(=O)CS
Polyoxyethylene monoleate	Approved Name	DTXSID6027713	Polyoxyethylene monoleate	9004-96-0	-
4-(2-Phenylpropan-2-yl)-N-[4-(2-phenylpropan-2-yl)phenyl]aniline	Approved Name	DTXSID0027721	4-(2-Phenylpropan-2-yl)-N-[4-(2-phenylpropan-2-yl)phenyl]aniline	10081-67-1	CC(C)(C1=CC=CC=C1)C1=CC=C(NC2=CC=C(C=C2)C(C)(C)C2=CC=CC=C2)C=C1
Manganese, tricarbonyl[(1,2,3,4,5-.eta.)-1-methyl-2,4-cyclopentadien-1-yl]	NO_MATCH	-	-	-	-
3-Phenoxybenzenemethanol	Approved Name	DTXSID7027756	3-Phenoxybenzenemethanol	13826-35-2	OCC1=CC=CC(OC2=CC=CC=C2)=C1
2-Acrylamido-2-methyl-1-propanesulfonic acid	Approved Name	DTXSID5027770	2-Acrylamido-2-methyl-1-propanesulfonic acid	15214-89-8	CC(C)(CS(O)(=O)=O)NC(=O)C=C
Ethylenediaminetetraacetic acid ferric sodium salt	Approved Name	DTXSID5027774	Ethylenediaminetetraacetic acid ferric sodium salt	15708-41-5	[Na+].[Fe+3].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O
N-(Cyclohexylthio)phthalimide	Approved Name	DTXSID8027793	N-(Cyclohexylthio)phthalimide	17796-82-6	O=C1N(SC2CCCCC2)C(=O)C2=C1C=CC=C2
Dicyclohexyl sodium sulfosuccinate	Approved Name	DTXSID8027826	Dicyclohexyl sodium sulfosuccinate	23386-52-9	[Na+].[O-]S(=O)(=O)C(CC(=O)OC1CCCCC1)C(=O)OC1CCCCC1
2-Ethyl-6-methylaniline	Approved Name	DTXSID7027833	2-Ethyl-6-methylaniline	24549-06-2	CCC1=CC=CC(C)=C1N
Tripropylene glycol	Approved Name	DTXSID7027837	Tripropylene glycol	24800-44-0	C*.C*.C*.OCCOCCOCCO |lp:6:2,9:2,12:2,15:2,m:1:13.14,3:10.11,5:7.8|
Chlorotoluene	Approved Name	DTXSID0027852	Chlorotoluene	25168-05-2	CC1=CC=CC=C1.Cl* |c:3,5,t:1,lp:7:3,m:8:4.5.6|
Dipropylene glycol	Approved Name	DTXSID0027856	Dipropylene glycol	25265-71-8	-
Polypropylene glycol	Approved Name	DTXSID9027863	Polypropylene glycol	25322-69-4	[H]OCCO.C* |lp:1:2,4:2,m:6:3.2,Sg:n:5,1,2,3::ht|
tert-Nonanethiol	Approved Name	DTXSID4027868	tert-Nonanethiol	25360-10-5	-
Glyceryl monooleate	Approved Name	DTXSID3027875	Glyceryl monooleate	25496-72-4	-
Diisodecylphenyl phosphite	Approved Name	DTXSID3027877	Diisodecylphenyl phosphite	25550-98-5	-
Bis(2-ethylhexyl) tetrabromophthalate	Approved Name	DTXSID7027887	Bis(2-ethylhexyl) tetrabromophthalate	26040-51-7	CCCCC(CC)COC(=O)C1=C(Br)C(Br)=C(Br)C(Br)=C1C(=O)OCC(CC)CCCC
Calcium dodecylbenzene sulfonate	Approved Name	DTXSID1027891	Calcium dodecylbenzene sulfonate	26264-06-2	-
Ammonium xylene sulfonate	Approved Name	DTXSID1027899	Ammonium xylene sulfonate	26447-10-9	-
Neodecanoic acid	Approved Name	DTXSID7027916	Neodecanoic acid	26896-20-8	-
N,N,N',N'-Tetrabutyl-1,6-hexanediamine	Approved Name	DTXSID1027920	N,N,N',N'-Tetrabutyl-1,6-hexanediamine	27090-63-7	CCCCN(CCCC)CCCCCCN(CCCC)CCCC
Di(propylene glycol) dibenzoate	Approved Name	DTXSID6027921	Di(propylene glycol) dibenzoate	27138-31-4	CC(COCC(C)OC(=O)C1=CC=CC=C1)OC(=O)C1=CC=CC=C1
Dodecylbenzenesulfonic acid	Approved Name	DTXSID6027923	Dodecylbenzenesulfonic acid	27176-87-0	CCCCCCCCCCCC*.OS(=O)(=O)C1=CC=CC=C1 |c:18,20,t:16,lp:13:2,15:2,16:2,m:12:20.21.22|
Dodecylphenol	Approved Name	DTXSID1027926	Dodecylphenol	27193-86-8	-
Dodecylbenzene sulfonate triethanolamine (1:1)	Integrated Source Name	DTXSID5027932	Dodecylbenzene sulfonate triethanolamine(1:1)	27323-41-7	-
Isooctyl acrylate	Approved Name	DTXSID8027955	Isooctyl acrylate	29590-42-9	-
Isooctadecanoic acid	Approved Name	DTXSID2027963	Isooctadecanoic acid	30399-84-9	-
Hexanedioic acid, diisononyl ester	Approved Name	DTXSID5027982	Hexanedioic acid, diisononyl ester	33703-08-1	-
Propanol, 1(or 2)-(2-methoxymethylethoxy)	NO_MATCH	-	-	-	-
1-Hexadecanol	Approved Name	DTXSID4027991	1-Hexadecanol	36653-82-4	CCCCCCCCCCCCCCCCO
Dichlormid	Approved Name	DTXSID4027997	Dichlormid	37764-25-3	ClC(Cl)C(=O)N(CC=C)CC=C
1-(Bromomethyl)-3-phenoxybenzene	Approved Name	DTXSID6028022	1-(Bromomethyl)-3-phenoxybenzene	51632-16-7	BrCC1=CC=CC(OC2=CC=CC=C2)=C1
Triisononyl trimellitate	Approved Name	DTXSID5028033	Triisononyl trimellitate	53894-23-8	-
3-Iodo-2-propynyl-N-butylcarbamate	Approved Name	DTXSID0028038	3-Iodo-2-propynyl-N-butylcarbamate	55406-53-6	CCCCNC(=O)OCC#CI
DINP branched	Approved Name	DTXSID5028665	DINP branched	68515-48-0	-
1,2-Benzenedicarboxylic acid, di-C9-11-branched alkyl esters, C10-rich	Approved Name	DTXSID0028666	1,2-Benzenedicarboxylic acid, di-C9-11-branched alkyl esters, C10-rich	68515-49-1	-
C12-14-Alkyl glycidyl ether	Synonym	DTXSID7028774	Alkyl (C12-C14) glycidyl ether	68609-97-2	-
4-Nonylphenol, branched	Approved Name	DTXSID5029055	4-Nonylphenol, branched	84852-15-3	-
4-Toluenesulfonamide	Integrated Source Name	DTXSID8029105	4-Toluenesulfonamide	70-55-3	CC1=CC=C(C=C1)S(N)(=O)=O
3,7-Dimethyl-3-octanol	Expert Validated Synonym	DTXSID7029110	3,7-Dimethyloctanol-3	78-69-3	CCC(C)(O)CCCC(C)C
1,2,4,5-Tetramethylbenzene	Approved Name	DTXSID1029124	1,2,4,5-Tetramethylbenzene	95-93-2	CC1=CC(C)=C(C)C=C1C
Tetrahydrofurfuryl alcohol	Approved Name	DTXSID1029128	Tetrahydrofurfuryl alcohol	97-99-4	OCC1CCCO1
4-Hydroxyacetophenone	Approved Name	DTXSID0029133	4-Hydroxyacetophenone	99-93-4	CC(=O)C1=CC=C(O)C=C1
Dimethyl malonate	Approved Name	DTXSID4029145	Dimethyl malonate	108-59-8	COC(=O)CC(=O)OC
4-Methylmorpholine	Approved Name	DTXSID9029146	4-Methylmorpholine	109-02-4	CN1CCOCC1
Benzyl benzoate	Approved Name	DTXSID8029153	Benzyl benzoate	120-51-4	O=C(OCC1=CC=CC=C1)C1=CC=CC=C1
Cyclopentanone	Approved Name	DTXSID3029154	Cyclopentanone	120-92-3	O=C1CCCC1
Pentylcinnamaldehyde	Expert Validated Synonym	DTXSID8029157	alpha-Amyl cinnamaldehyde	122-40-7	CCCCCC(C=O)=CC1=CC=CC=C1
2,6,8-Trimethyl-4-nonanol	Approved Name	DTXSID8029159	2,6,8-Trimethyl-4-nonanol	123-17-1	CC(C)CC(C)CC(O)CC(C)C
Sodium 1,4-diisobutyl sulfosuccinate	Approved Name	DTXSID7029164	Sodium 1,4-diisobutyl sulfosuccinate	127-39-9	[Na+].CC(C)COC(=O)CC(C(=O)OCC(C)C)S([O-])(=O)=O
Metam-sodium	Approved Name	DTXSID2029167	Metam-sodium	137-42-8	[Na+].CNC([S-])=S
4-Methylpent-3-en-2-one	Approved Name	DTXSID1029170	4-Methylpent-3-en-2-one	141-79-7	CC(C)=CC(C)=O
Butyltin trichloride	Approved Name	DTXSID0029210	Butyltin trichloride	1118-46-3	CCCC[Sn](Cl)(Cl)Cl
Ionone, methyl	NO_MATCH	-	-	-	-
1-Propoxy-2-propanol	Approved Name	DTXSID5029217	1-Propoxy-2-propanol	1569-01-3	CCCOCC(C)O
Clopyralid	Approved Name	DTXSID9029221	Clopyralid	1702-17-6	OC(=O)C1=C(Cl)C=CC(Cl)=N1
1,1-Bis(3,4-dimethylphenyl)ethane	Approved Name	DTXSID9029223	1,1-Bis(3,4-dimethylphenyl)ethane	1742-14-9	CC(C1=CC=C(C)C(C)=C1)C1=CC=C(C)C(C)=C1
2,4-Bis(1-methyl-1-phenylethyl)phenol	Approved Name	DTXSID7029241	2,4-Bis(1-methyl-1-phenylethyl)phenol	2772-45-4	CC(C)(C1=CC=CC=C1)C1=CC(=C(O)C=C1)C(C)(C)C1=CC=CC=C1
Triethoxyoctylsilane	Approved Name	DTXSID2029246	Triethoxyoctylsilane	2943-75-1	CCCCCCCC[Si](OCC)(OCC)OCC
2,6-Di-tert-butyl-4-ethylphenol	Approved Name	DTXSID0029262	2,6-Di-tert-butyl-4-ethylphenol	4130-42-1	CCC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C
5-Ethyl-1-aza-3,7-dioxabicyclo[3.3.0]octane	Synonym	DTXSID3029289	7a-Ethyldihydro-1H,3H,5H-oxazolo(3,4-c)oxazole	7747-35-5	CCC12COCN1COC2
(-)-alpha-Pinene	Approved Name	DTXSID2029290	(-)-alpha-Pinene	7785-26-4	CC1=CC[C@H]2C[C@@H]1C2(C)C
Sodium lauryl polyoxyethylene ether sulfate	Expert Validated Synonym	DTXSID2029298	Dodecanol, ethoxylated, monoether with sulfuric acid, sodium salt	9004-82-4	-
2-Propyl-1-heptanol	Approved Name	DTXSID9029302	2-Propyl-1-heptanol	10042-59-8	CCCCCC(CO)CCC
Glyceryl stearates	Synonym	DTXSID9029304	Glyceryl stearate	11099-07-3	-
Methyl dihydrojasmonate	Approved Name	DTXSID2029325	Methyl dihydrojasmonate	24851-98-7	CCCCCC1C(CC(=O)OC)CCC1=O
Tripropylene glycol monomethyl ether	Approved Name	DTXSID2029329	Tripropylene glycol monomethyl ether	25498-49-1	-
1-Cedr-8-en-9-ylethanone	Synonym	DTXSID4029353	Acetylcedrene	32388-55-9	[H][C@]12C[C@@]3(CC(C(C)=O)=C1C)[C@H](C)CC[C@@]3([H])C2(C)C
Diazolidinyl urea	Approved Name	DTXSID0029559	Diazolidinyl urea	78491-02-8	OCNC(=O)N(CO)C1N(CO)C(=O)N(CO)C1=O
Phthalic acid, diundecyl ester, branched and linear	Synonym	DTXSID4029565	1,2-Benzenedicarboxylic acid, diundecyl ester, branched and linear	85507-79-5	-
Benoxacor	Expert Validated Synonym	DTXSID3029572	2,2-Dichloro-1-(3-methyl-2,3-dihydro-4H-1,4-benzoxazin-4-yl)ethanone	98730-04-2	CC1COC2=C(C=CC=C2)N1C(=O)C(Cl)Cl
Methacrylamide	Approved Name	DTXSID8029600	Methacrylamide	79-39-0	CC(=C)C(N)=O
Triethylene glycol dibenzoate	Expert Validated Synonym	DTXSID7029611	Ethylenebis(oxyethylene) dibenzoate	120-56-9	O=C(OCCOCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1
Limonene	Approved Name	DTXSID2029612	Limonene	138-86-3	CC(=C)C1CCC(C)=CC1
Imidazole	Approved Name	DTXSID2029616	Imidazole	288-32-4	N1C=CN=C1
1,3-Benzenedimethanamine	Approved Name	DTXSID9029649	1,3-Benzenedimethanamine	1477-55-0	NCC1=CC(CN)=CC=C1
Menthol	Approved Name	DTXSID8029650	Menthol	1490-04-6	CC(C)C1CCC(C)CC1O
Thiocyanic acid, ammonium salt	Approved Name	DTXSID3029653	Thiocyanic acid, ammonium salt	1762-95-4	[NH4+].[S-]C#N
3,5,5-Trimethyl-1-hexanol	Approved Name	DTXSID7029661	3,5,5-Trimethyl-1-hexanol	3452-97-9	CC(CCO)CC(C)(C)C
Silica	Approved Name	DTXSID1029677	Silica	7631-86-9	-
Potassium nitrate	Approved Name	DTXSID4029692	Potassium nitrate	7757-79-1	[K+].[O-][N+]([O-])=O
Sodium persulfate	Approved Name	DTXSID4029698	Sodium persulfate	7775-27-1	[Na+].[Na+].[O-]S(=O)(=O)OOS([O-])(=O)=O
Propylene glycol monobutyl ether	Expert Validated Synonym	DTXSID6029755	1,2-Propanediol monobutyl ether	29387-86-8	-
Sodium dichloro-s-triazinetrione dihydrate	Approved Name	DTXSID0029761	Sodium dichloro-s-triazinetrione dihydrate	51580-86-0	O.O.[Na+].[O-]C1=NC(=O)N(Cl)C(=O)N1Cl
Acetic acid, C8-10-branched alkyl esters, C9-rich	Approved Name	DTXSID0029848	Acetic acid, C8-10-branched alkyl esters, C9-rich	108419-33-6	-
Clotrimazole	Approved Name	DTXSID7029871	Clotrimazole	23593-75-1	ClC1=C(C=CC=C1)C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1
Fenofibrate	Approved Name	DTXSID2029874	Fenofibrate	49562-28-9	CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1
Ketoconazole	Approved Name	DTXSID7029879	Ketoconazole	65277-42-1	CC(=O)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1
1,1,2,2-Tetrahydroperfluoro-1-decanol	Expert Validated Synonym	DTXSID7029904	8:2 Fluorotelomer alcohol	678-39-7	OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
2,2-Dichloropropane	Approved Name	DTXSID7030060	2,2-Dichloropropane	594-20-7	CC(C)(Cl)Cl
3,5-Dichloroaniline	Approved Name	DTXSID7030307	3,5-Dichloroaniline	626-43-7	NC1=CC(Cl)=CC(Cl)=C1
Acesulfame potassium	Approved Name	DTXSID1030606	Acesulfame potassium	55589-62-3	[K+].CC1=CC(=O)[N-]S(=O)(=O)O1
alpha-Cyclodextrin	Approved Name	DTXSID7030698	alpha-Cyclodextrin	10016-20-3	OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O
Dipentyl phthalate	Approved Name	DTXSID5031131	Dipentyl phthalate	131-18-0	CCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCC
Diquat dibromide monohydrate	Approved Name	DTXSID7031248	Diquat dibromide monohydrate	6385-62-2	O.[Br-].[Br-].C1C[N+]2=C(C=CC=C2)C2=[N+]1C=CC=C2
Glycoluril	Approved Name	DTXSID6031380	Glycoluril	496-46-8	[H][C@@]12NC(=O)N[C@]1([H])NC(=O)N2
PFDA	Expert Validated Synonym	DTXSID3031860	Perfluorodecanoic acid	335-76-2	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFHxA	Expert Validated Synonym	DTXSID3031862	Perfluorohexanoic acid	307-24-4	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFNA	Expert Validated Synonym	DTXSID8031863	Perfluorononanoic acid	375-95-1	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFOS	Synonym from Valid Source	DTXSID3031864	Perfluorooctanesulfonic acid	1763-23-1	OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFOA	Synonym from Valid Source	DTXSID8031865	Perfluorooctanoic acid	335-67-1	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
Flutamide	Approved Name	DTXSID7032004	Flutamide	13311-84-7	CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F
Tebuconazole	Approved Name	DTXSID9032113	Tebuconazole	107534-96-3	CC(C)(C)C(O)(CCC1=CC=C(Cl)C=C1)CN1C=NC=N1
(Z)-11-Hexadecenal	Approved Name	DTXSID1032303	(Z)-11-Hexadecenal	53939-28-9	CCCC\C=C/CCCCCCCCCC=O
2,4-D-Butotyl	Approved Name	DTXSID1032309	2,4-D-Butotyl	1929-73-3	CCCCOCCOC(=O)COC1=C(Cl)C=C(Cl)C=C1
4,5-Dichloro-2-octyl-3(2H)-isothiazolone	Approved Name	DTXSID5032315	4,5-Dichloro-2-octyl-3(2H)-isothiazolone	64359-81-5	CCCCCCCCN1SC(Cl)=C(Cl)C1=O
4-Chloro-3,5-dimethylphenol	Approved Name	DTXSID0032316	4-Chloro-3,5-dimethylphenol	88-04-0	CC1=CC(O)=CC(C)=C1Cl
Bendiocarb	Approved Name	DTXSID9032327	Bendiocarb	22781-23-3	CNC(=O)OC1=CC=CC2=C1OC(C)(C)O2
Bensulide	Approved Name	DTXSID9032329	Bensulide	741-58-2	CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)C1=CC=CC=C1
Butralin	Approved Name	DTXSID3032337	Butralin	33629-47-9	CCC(C)NC1=C(C=C(C=C1[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O
Chlorethoxyfos	Approved Name	DTXSID2032344	Chlorethoxyfos	54593-83-8	CCOP(=S)(OCC)OC(Cl)C(Cl)(Cl)Cl
Chlorhexidine diacetate	Approved Name	DTXSID7032345	Chlorhexidine diacetate	56-95-1	CC(O)=O.CC(O)=O.ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1
Chlorophacinone	Approved Name	DTXSID2032348	Chlorophacinone	3691-35-8	ClC1=CC=C(C=C1)C(C(=O)C1C(=O)C2=C(C=CC=C2)C1=O)C1=CC=CC=C1
Chlorpyrifos-methyl	Approved Name	DTXSID6032352	Chlorpyrifos-methyl	5598-13-0	COP(=S)(OC)OC1=NC(Cl)=C(Cl)C=C1Cl
Clodinafop-propargyl mixt	NO_MATCH	-	-	-	-
Clomazone	Approved Name	DTXSID1032355	Clomazone	81777-89-1	CC1(C)CON(CC2=C(Cl)C=CC=C2)C1=O
Cycloate	Approved Name	DTXSID6032356	Cycloate	1134-23-2	CCSC(=O)N(CC)C1CCCCC1
Cymoxanil	Approved Name	DTXSID6032358	Cymoxanil	57966-95-7	CCNC(=O)NC(=O)C(=N\OC)\C#N
Cyprodinil	Approved Name	DTXSID1032359	Cyprodinil	121552-61-2	CC1=NC(NC2=CC=CC=C2)=NC(=C1)C1CC1
