INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	DTXCID	CASRN	QSAR_READY_SMILES
644-97-3	CAS-RN	DTXSID4027282	Phenyl phosphorus dichloride	DTXCID307282	644-97-3	ClP(Cl)C1=CC=CC=C1
683-18-1	CAS-RN	DTXSID8027292	Dibutyltin dichloride	DTXCID607292	683-18-1	-
753-73-1	CAS-RN	DTXSID5027304	Dimethyltin dichloride	DTXCID907304	753-73-1	-
770-35-4	CAS-RN	DTXSID9027312	1-Phenoxy-2-propanol	DTXCID407312	770-35-4	CC(O)COC1=CC=CC=C1
824-78-2	CAS-RN	DTXSID3027320	Sodium 4-nitrophenolate	DTXCID907320	824-78-2	OC1=CC=C(C=C1)[N+]([O-])=O
919-30-2	CAS-RN	DTXSID2027333	3-Aminopropyltriethoxysilane	DTXCID407333	919-30-2	CCO[Si](CCCN)(OCC)OCC
960-71-4	CAS-RN	DTXSID6027345	Triphenylborane	DTXCID507345	960-71-4	C1=CC=C(C=C1)B(C1=CC=CC=C1)C1=CC=CC=C1
1067-53-4	CAS-RN	DTXSID5027356	Tris(2-methoxyethoxy)vinylsilane	DTXCID207356	1067-53-4	COCCO[Si](OCCOC)(OCCOC)C=C
1111-78-0	CAS-RN	DTXSID9027360	Ammonium carbamate	DTXCID107360	1111-78-0	NC(O)=O
1118-92-9	CAS-RN	DTXSID9027364	N,N-Dimethyloctanamide	DTXCID707364	1118-92-9	CCCCCCCC(=O)N(C)C
1120-36-1	CAS-RN	DTXSID4027367	1-Tetradecene	DTXCID907367	1120-36-1	CCCCCCCCCCCCC=C
1300-73-8	CAS-RN	DTXSID8027377	Dimethylaniline	DTXCID301323373	1300-73-8	-
1330-86-5	CAS-RN	DTXSID7027388	Diisooctyl adipate	DTXCID401322980	1330-86-5	-
1333-39-7	CAS-RN	DTXSID1027390	Phenolsulfonic acid	DTXCID801323378	1333-39-7	-
1338-43-8	CAS-RN	DTXSID6027397	Sorbitan, mono-(9Z)-9-octadecenoate	DTXCID807397	1338-43-8	CCCCCCCCC=CCCCCCCCC(=O)OCC(O)C1OCC(O)C1O
1459-93-4	CAS-RN	DTXSID8027402	Dimethyl isophthalate	DTXCID307402	1459-93-4	COC(=O)C1=CC(=CC=C1)C(=O)OC
1461-22-9	CAS-RN	DTXSID3027403	Tributyltin chloride	DTXCID707403	1461-22-9	-
1559-34-8	CAS-RN	DTXSID2027412	3,6,9,12-Tetraoxahexadecan-1-ol	DTXCID607412	1559-34-8	CCCCOCCOCCOCCOCCO
1563-38-8	CAS-RN	DTXSID2027414	2,3-Dihydro-2,2-dimethyl-7-benzofuranol	DTXCID407414	1563-38-8	CC1(C)CC2=C(O1)C(O)=CC=C2
1724-39-6	CAS-RN	DTXSID1027429	Cyclododecanol	DTXCID707429	1724-39-6	OC1CCCCCCCCCCC1
1760-24-3	CAS-RN	DTXSID5027433	N-[3-(Trimethoxysilyl)propyl]ethane-1,2-diamine	DTXCID607433	1760-24-3	CO[Si](CCCNCCN)(OC)OC
1843-05-6	CAS-RN	DTXSID9027441	Octabenzone	DTXCID107441	1843-05-6	CCCCCCCCOC1=CC(O)=C(C=C1)C(=O)C1=CC=CC=C1
2044-64-6	CAS-RN	DTXSID8027454	N,N-Dimethylacetoacetamide	DTXCID607454	2044-64-6	CN(C)C(=O)CC(C)=O
2231-57-4	CAS-RN	DTXSID7027461	Thiocarbazide	DTXCID707461	2231-57-4	NNC(=S)NN
2386-87-0	CAS-RN	DTXSID2027466	ECC	DTXCID707466	2386-87-0	O=C(OCC1CCC2OC2C1)C1CCC2OC2C1
2440-22-4	CAS-RN	DTXSID1027479	2-(2H-Benzotriazol-2-yl)-4-methylphenol	DTXCID207479	2440-22-4	CC1=CC(N2N=C3C=CC=CC3=N2)=C(O)C=C1
2687-25-4	CAS-RN	DTXSID4027494	2,3-Diaminotoluene	DTXCID807494	2687-25-4	CC1=C(N)C(N)=CC=C1
2702-72-9	CAS-RN	DTXSID4027496	2,4-D sodium salt	DTXCID607496	2702-72-9	OC(=O)COC1=C(Cl)C=C(Cl)C=C1
2807-30-9	CAS-RN	DTXSID1027500	2-Propoxyethanol	DTXCID707500	2807-30-9	CCCOCCO
3147-75-9	CAS-RN	DTXSID9027522	Octrizole	DTXCID107522	3147-75-9	CC(C)(C)CC(C)(C)C1=CC(N2N=C3C=CC=CC3=N2)=C(O)C=C1
3164-85-0	CAS-RN	DTXSID4027525	Potassium 2-ethylhexanoate	DTXCID307525	3164-85-0	CCCCC(CC)C(O)=O
3194-55-6	CAS-RN	DTXSID4027527	1,2,5,6,9,10-Hexabromocyclododecane	DTXCID107527	3194-55-6	BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br
3268-49-3	CAS-RN	DTXSID9027528	3-(Methylthio)propanal	DTXCID507528	3268-49-3	CSCCC=O
3622-84-2	CAS-RN	DTXSID7027540	N-Butylbenzenesulfonamide	DTXCID907540	3622-84-2	CCCCNS(=O)(=O)C1=CC=CC=C1
3926-62-3	CAS-RN	DTXSID1027550	Sodium chloroacetate	DTXCID207550	3926-62-3	OC(=O)CCl
4904-61-4	CAS-RN	DTXSID8027581	1,5,9-Cyclododecatriene	DTXCID5065308	4904-61-4	C1CC=CCCC=CCCC=C1
5216-25-1	CAS-RN	DTXSID2027593	4-Chlorobenzotrichloride	DTXCID607593	5216-25-1	ClC1=CC=C(C=C1)C(Cl)(Cl)Cl
5915-41-3	CAS-RN	DTXSID4027608	Terbutylazine	DTXCID107608	5915-41-3	CCNC1=NC(NC(C)(C)C)=NC(Cl)=N1
6422-86-2	CAS-RN	DTXSID7027625	Bis(2-ethylhexyl) terephthalate	DTXCID507625	6422-86-2	CCCCC(CC)COC(=O)C1=CC=C(C=C1)C(=O)OCC(CC)CCCC
6683-19-8	CAS-RN	DTXSID1027633	Irganox 1010	DTXCID007633	6683-19-8	CC(C)(C)C1=CC(CCC(=O)OCC(COC(=O)CCC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)(COC(=O)CCC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)COC(=O)CCC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)=CC(=C1O)C(C)(C)C
6846-50-0	CAS-RN	DTXSID1027635	2,2,4-Trimethyl-1,3-pentanediol diisobutyrate	DTXCID807635	6846-50-0	CC(C)C(OC(=O)C(C)C)C(C)(C)COC(=O)C(C)C
6915-15-7	CAS-RN	DTXSID0027640	Malic acid	DTXCID107640	6915-15-7	OC(CC(O)=O)C(O)=O
7398-69-8	CAS-RN	DTXSID4027650	Diallyldimethylammonium chloride	DTXCID407650	7398-69-8	C[N+](C)(CC=C)CC=C
7659-86-1	CAS-RN	DTXSID4027656	2-Ethylhexyl thioglycolate	DTXCID807656	7659-86-1	CCCCC(CC)COC(=O)CS
9004-96-0	CAS-RN	DTXSID6027713	Polyoxyethylene monoleate	-	9004-96-0	-
10081-67-1	CAS-RN	DTXSID0027721	4-(2-Phenylpropan-2-yl)-N-[4-(2-phenylpropan-2-yl)phenyl]aniline	DTXCID107721	10081-67-1	CC(C)(C1=CC=CC=C1)C1=CC=C(NC2=CC=C(C=C2)C(C)(C)C2=CC=CC=C2)C=C1
12108-13-3	CAS-RN	DTXSID9027738	(Methylcyclopentadienyl)tricarbonylmanganese	DTXCID207738	12108-13-3	-
13826-35-2	CAS-RN	DTXSID7027756	3-Phenoxybenzenemethanol	DTXCID007756	13826-35-2	OCC1=CC=CC(OC2=CC=CC=C2)=C1
15214-89-8	CAS-RN	DTXSID5027770	2-Acrylamido-2-methyl-1-propanesulfonic acid	DTXCID207770	15214-89-8	CC(C)(CS(O)(=O)=O)NC(=O)C=C
15708-41-5	CAS-RN	DTXSID5027774	Ethylenediaminetetraacetic acid ferric sodium salt	DTXCID807774	15708-41-5	OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O
17796-82-6	CAS-RN	DTXSID8027793	N-(Cyclohexylthio)phthalimide	DTXCID007793	17796-82-6	O=C1N(SC2CCCCC2)C(=O)C2=C1C=CC=C2
23386-52-9	CAS-RN	DTXSID8027826	Dicyclohexyl sodium sulfosuccinate	DTXCID307826	23386-52-9	OS(=O)(=O)C(CC(=O)OC1CCCCC1)C(=O)OC1CCCCC1
24549-06-2	CAS-RN	DTXSID7027833	2-Ethyl-6-methylaniline	DTXCID407833	24549-06-2	CCC1=CC=CC(C)=C1N
24800-44-0	CAS-RN	DTXSID7027837	Tripropylene glycol	DTXCID201323382	24800-44-0	-
25168-05-2	CAS-RN	DTXSID0027852	Chlorotoluene	DTXCID201323275	25168-05-2	-
25265-71-8	CAS-RN	DTXSID0027856	Dipropylene glycol	-	25265-71-8	-
25322-69-4	CAS-RN	DTXSID9027863	Polypropylene glycol	DTXCID701326779	25322-69-4	-
25360-10-5	CAS-RN	DTXSID4027868	tert-Nonanethiol	-	25360-10-5	-
25496-72-4	CAS-RN	DTXSID3027875	Glyceryl monooleate	-	25496-72-4	-
25550-98-5	CAS-RN	DTXSID3027877	Diisodecylphenyl phosphite	-	25550-98-5	-
26040-51-7	CAS-RN	DTXSID7027887	Bis(2-ethylhexyl) tetrabromophthalate	DTXCID507887	26040-51-7	CCCCC(CC)COC(=O)C1=C(Br)C(Br)=C(Br)C(Br)=C1C(=O)OCC(CC)CCCC
26264-06-2	CAS-RN	DTXSID1027891	Calcium dodecylbenzene sulfonate	-	26264-06-2	-
26447-10-9	CAS-RN	DTXSID1027899	Ammonium xylene sulfonate	-	26447-10-9	-
26896-20-8	CAS-RN	DTXSID7027916	Neodecanoic acid	-	26896-20-8	-
27090-63-7	CAS-RN	DTXSID1027920	N,N,N',N'-Tetrabutyl-1,6-hexanediamine	DTXCID107920	27090-63-7	CCCCN(CCCC)CCCCCCN(CCCC)CCCC
27138-31-4	CAS-RN	DTXSID6027921	Di(propylene glycol) dibenzoate	DTXCID507921	27138-31-4	CC(COCC(C)OC(=O)C1=CC=CC=C1)OC(=O)C1=CC=CC=C1
27176-87-0	CAS-RN	DTXSID6027923	Dodecylbenzenesulfonic acid	DTXCID301323347	27176-87-0	-
27193-86-8	CAS-RN	DTXSID1027926	Dodecylphenol	-	27193-86-8	-
27323-41-7	CAS-RN	DTXSID5027932	Dodecylbenzene sulfonate triethanolamine(1:1)	-	27323-41-7	-
29590-42-9	CAS-RN	DTXSID8027955	Isooctyl acrylate	-	29590-42-9	-
30399-84-9	CAS-RN	DTXSID2027963	Isooctadecanoic acid	-	30399-84-9	-
33703-08-1	CAS-RN	DTXSID5027982	Hexanedioic acid, diisononyl ester	-	33703-08-1	-
34590-94-8	CAS-RN	DTXSID0027983	Dipropylene glycol monomethyl ether	-	34590-94-8	-
36653-82-4	CAS-RN	DTXSID4027991	1-Hexadecanol	DTXCID607991	36653-82-4	CCCCCCCCCCCCCCCCO
37764-25-3	CAS-RN	DTXSID4027997	Dichlormid	DTXCID007997	37764-25-3	ClC(Cl)C(=O)N(CC=C)CC=C
51632-16-7	CAS-RN	DTXSID6028022	1-(Bromomethyl)-3-phenoxybenzene	DTXCID208022	51632-16-7	BrCC1=CC=CC(OC2=CC=CC=C2)=C1
53894-23-8	CAS-RN	DTXSID5028033	Triisononyl trimellitate	-	53894-23-8	-
55406-53-6	CAS-RN	DTXSID0028038	3-Iodo-2-propynyl-N-butylcarbamate	DTXCID908038	55406-53-6	CCCCNC(=O)OCC#CI
68515-48-0	CAS-RN	DTXSID5028665	DINP branched	-	68515-48-0	-
68515-49-1	CAS-RN	DTXSID0028666	1,2-Benzenedicarboxylic acid, di-C9-11-branched alkyl esters, C10-rich	-	68515-49-1	-
68609-97-2	CAS-RN	DTXSID7028774	Alkyl (C12-C14) glycidyl ether	-	68609-97-2	-
84852-15-3	CAS-RN	DTXSID5029055	4-Nonylphenol, branched	-	84852-15-3	-
70-55-3	CAS-RN	DTXSID8029105	4-Toluenesulfonamide	DTXCID109105	70-55-3	CC1=CC=C(C=C1)S(N)(=O)=O
78-69-3	CAS-RN	DTXSID7029110	3,7-Dimethyloctanol-3	DTXCID409110	78-69-3	CCC(C)(O)CCCC(C)C
95-93-2	CAS-RN	DTXSID1029124	1,2,4,5-Tetramethylbenzene	DTXCID309124	95-93-2	CC1=CC(C)=C(C)C=C1C
97-99-4	CAS-RN	DTXSID1029128	Tetrahydrofurfuryl alcohol	DTXCID909128	97-99-4	OCC1CCCO1
99-93-4	CAS-RN	DTXSID0029133	4-Hydroxyacetophenone	DTXCID209133	99-93-4	CC(=O)C1=CC=C(O)C=C1
108-59-8	CAS-RN	DTXSID4029145	Dimethyl malonate	DTXCID309145	108-59-8	COC(=O)CC(=O)OC
109-02-4	CAS-RN	DTXSID9029146	4-Methylmorpholine	DTXCID709146	109-02-4	CN1CCOCC1
120-51-4	CAS-RN	DTXSID8029153	Benzyl benzoate	DTXCID809153	120-51-4	O=C(OCC1=CC=CC=C1)C1=CC=CC=C1
120-92-3	CAS-RN	DTXSID3029154	Cyclopentanone	DTXCID209154	120-92-3	O=C1CCCC1
122-40-7	CAS-RN	DTXSID8029157	alpha-Amyl cinnamaldehyde	DTXCID409157	122-40-7	CCCCCC(C=O)=CC1=CC=CC=C1
123-17-1	CAS-RN	DTXSID8029159	2,6,8-Trimethyl-4-nonanol	DTXCID209159	123-17-1	CC(C)CC(C)CC(O)CC(C)C
127-39-9	CAS-RN	DTXSID7029164	Sodium 1,4-diisobutyl sulfosuccinate	DTXCID509164	127-39-9	CC(C)COC(=O)CC(C(=O)OCC(C)C)S(O)(=O)=O
137-42-8	CAS-RN	DTXSID2029167	Metam-sodium	DTXCID709167	137-42-8	CNC(S)=S
141-79-7	CAS-RN	DTXSID1029170	4-Methylpent-3-en-2-one	DTXCID209170	141-79-7	CC(C)=CC(C)=O
1118-46-3	CAS-RN	DTXSID0029210	Butyltin trichloride	DTXCID609210	1118-46-3	-
1335-46-2	CAS-RN	DTXSID0029214	Methylionone	-	1335-46-2	-
1569-01-3	CAS-RN	DTXSID5029217	1-Propoxy-2-propanol	DTXCID409217	1569-01-3	CCCOCC(C)O
1702-17-6	CAS-RN	DTXSID9029221	Clopyralid	DTXCID309221	1702-17-6	OC(=O)C1=C(Cl)C=CC(Cl)=N1
1742-14-9	CAS-RN	DTXSID9029223	1,1-Bis(3,4-dimethylphenyl)ethane	DTXCID109223	1742-14-9	CC(C1=CC=C(C)C(C)=C1)C1=CC=C(C)C(C)=C1
2772-45-4	CAS-RN	DTXSID7029241	2,4-Bis(1-methyl-1-phenylethyl)phenol	DTXCID909241	2772-45-4	CC(C)(C1=CC=CC=C1)C1=CC(=C(O)C=C1)C(C)(C)C1=CC=CC=C1
2943-75-1	CAS-RN	DTXSID2029246	Triethoxyoctylsilane	DTXCID909246	2943-75-1	CCCCCCCC[Si](OCC)(OCC)OCC
4130-42-1	CAS-RN	DTXSID0029262	2,6-Di-tert-butyl-4-ethylphenol	DTXCID909262	4130-42-1	CCC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C
7747-35-5	CAS-RN	DTXSID3029289	7a-Ethyldihydro-1H,3H,5H-oxazolo(3,4-c)oxazole	DTXCID309289	7747-35-5	CCC12COCN1COC2
7785-26-4	CAS-RN	DTXSID2029290	(-)-alpha-Pinene	DTXCID009290	7785-26-4	CC1=CCC2CC1C2(C)C
9004-82-4	CAS-RN	DTXSID2029298	Dodecanol, ethoxylated, monoether with sulfuric acid, sodium salt	-	9004-82-4	-
10042-59-8	CAS-RN	DTXSID9029302	2-Propyl-1-heptanol	DTXCID309302	10042-59-8	CCCCCC(CO)CCC
11099-07-3	CAS-RN	DTXSID9029304	Glyceryl stearate	-	11099-07-3	-
24851-98-7	CAS-RN	DTXSID2029325	Methyl dihydrojasmonate	DTXCID109325	24851-98-7	CCCCCC1C(CC(=O)OC)CCC1=O
25498-49-1	CAS-RN	DTXSID2029329	Tripropylene glycol monomethyl ether	-	25498-49-1	-
32388-55-9	CAS-RN	DTXSID4029353	Acetylcedrene	DTXCID209353	32388-55-9	[H]C12CC3(CC(C(C)=O)=C1C)C(C)CCC3C2(C)C
78491-02-8	CAS-RN	DTXSID0029559	Diazolidinyl urea	DTXCID009559	78491-02-8	OCNC(=O)N(CO)C1N(CO)C(=O)N(CO)C1=O
85507-79-5	CAS-RN	DTXSID4029565	1,2-Benzenedicarboxylic acid, diundecyl ester, branched and linear	-	85507-79-5	-
98730-04-2	CAS-RN	DTXSID3029572	2,2-Dichloro-1-(3-methyl-2,3-dihydro-4H-1,4-benzoxazin-4-yl)ethanone	DTXCID809572	98730-04-2	CC1COC2=C(C=CC=C2)N1C(=O)C(Cl)Cl
79-39-0	CAS-RN	DTXSID8029600	Methacrylamide	DTXCID109600	79-39-0	CC(=C)C(N)=O
120-56-9	CAS-RN	DTXSID7029611	Ethylenebis(oxyethylene) dibenzoate	DTXCID809611	120-56-9	O=C(OCCOCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1
138-86-3	CAS-RN	DTXSID2029612	Limonene	DTXCID209612	138-86-3	CC(=C)C1CCC(C)=CC1
288-32-4	CAS-RN	DTXSID2029616	Imidazole	DTXCID809616	288-32-4	N1C=CN=C1
1477-55-0	CAS-RN	DTXSID9029649	1,3-Benzenedimethanamine	DTXCID909649	1477-55-0	NCC1=CC(CN)=CC=C1
1490-04-6	CAS-RN	DTXSID8029650	Menthol	DTXCID30805	1490-04-6	CC(C)C1CCC(C)CC1O
1762-95-4	CAS-RN	DTXSID3029653	Thiocyanic acid, ammonium salt	DTXCID809653	1762-95-4	SC#N
3452-97-9	CAS-RN	DTXSID7029661	3,5,5-Trimethyl-1-hexanol	DTXCID309661	3452-97-9	CC(CCO)CC(C)(C)C
7631-86-9	CAS-RN	DTXSID1029677	Silica	-	7631-86-9	-
7757-79-1	CAS-RN	DTXSID4029692	Potassium nitrate	DTXCID609692	7757-79-1	-
7775-27-1	CAS-RN	DTXSID4029698	Sodium persulfate	DTXCID009698	7775-27-1	-
29387-86-8	CAS-RN	DTXSID6029755	1,2-Propanediol monobutyl ether	-	29387-86-8	-
51580-86-0	CAS-RN	DTXSID0029761	Sodium dichloro-s-triazinetrione dihydrate	DTXCID509761	51580-86-0	ClN1C(=O)NC(=O)N(Cl)C1=O
108419-33-6	CAS-RN	DTXSID0029848	Acetic acid, C8-10-branched alkyl esters, C9-rich	-	108419-33-6	-
23593-75-1	CAS-RN	DTXSID7029871	Clotrimazole	DTXCID009871	23593-75-1	ClC1=C(C=CC=C1)C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1
49562-28-9	CAS-RN	DTXSID2029874	Fenofibrate	DTXCID209874	49562-28-9	CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1
65277-42-1	CAS-RN	DTXSID7029879	Ketoconazole	DTXCID301437106	65277-42-1	CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1
678-39-7	CAS-RN	DTXSID7029904	8:2 Fluorotelomer alcohol	DTXCID309904	678-39-7	OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
594-20-7	CAS-RN	DTXSID7030060	2,2-Dichloropropane	DTXCID5010060	594-20-7	CC(C)(Cl)Cl
626-43-7	CAS-RN	DTXSID7030307	3,5-Dichloroaniline	DTXCID5010307	626-43-7	NC1=CC(Cl)=CC(Cl)=C1
55589-62-3	CAS-RN	DTXSID1030606	Acesulfame potassium	DTXCID9010606	55589-62-3	CC1=CC(=O)NS(=O)(=O)O1
10016-20-3	CAS-RN	DTXSID7030698	alpha-Cyclodextrin	DTXCID5010698	10016-20-3	[H]C12OC(CO)C([H])(OC3([H])OC(CO)C([H])(OC4([H])OC(CO)C([H])(OC5([H])OC(CO)C([H])(OC6([H])OC(CO)C([H])(OC7([H])OC(CO)C([H])(O1)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O)C(O)C2O
131-18-0	CAS-RN	DTXSID5031131	Dipentyl phthalate	DTXCID3011131	131-18-0	CCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCC
6385-62-2	CAS-RN	DTXSID7031248	Diquat dibromide monohydrate	DTXCID5011248	6385-62-2	C1C[N+]2=C(C=CC=C2)C2=CC=CC=[N+]12
496-46-8	CAS-RN	DTXSID6031380	Glycoluril	DTXCID101473952	496-46-8	O=C1NC2NC(=O)NC2N1
335-76-2	CAS-RN	DTXSID3031860	Perfluorodecanoic acid	DTXCID1011860	335-76-2	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
307-24-4	CAS-RN	DTXSID3031862	Perfluorohexanoic acid	DTXCID1011862	307-24-4	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
375-95-1	CAS-RN	DTXSID8031863	Perfluorononanoic acid	DTXCID6011863	375-95-1	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
1763-23-1	CAS-RN	DTXSID3031864	Perfluorooctanesulfonic acid	DTXCID1011864	1763-23-1	OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
335-67-1	CAS-RN	DTXSID8031865	Perfluorooctanoic acid	DTXCID6011865	335-67-1	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
13311-84-7	CAS-RN	DTXSID7032004	Flutamide	DTXCID9011121	13311-84-7	CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F
107534-96-3	CAS-RN	DTXSID9032113	Tebuconazole	DTXCID7012113	107534-96-3	CC(C)(C)C(O)(CCC1=CC=C(Cl)C=C1)CN1C=NC=N1
53939-28-9	CAS-RN	DTXSID1032303	(Z)-11-Hexadecenal	DTXCID9012303	53939-28-9	CCCCC=CCCCCCCCCCC=O
1929-73-3	CAS-RN	DTXSID1032309	2,4-D-Butotyl	DTXCID9012309	1929-73-3	CCCCOCCOC(=O)COC1=C(Cl)C=C(Cl)C=C1
64359-81-5	CAS-RN	DTXSID5032315	4,5-Dichloro-2-octyl-3(2H)-isothiazolone	DTXCID3012315	64359-81-5	CCCCCCCCN1SC(Cl)=C(Cl)C1=O
88-04-0	CAS-RN	DTXSID0032316	4-Chloro-3,5-dimethylphenol	DTXCID8012316	88-04-0	CC1=CC(O)=CC(C)=C1Cl
22781-23-3	CAS-RN	DTXSID9032327	Bendiocarb	DTXCID7012327	22781-23-3	CNC(=O)OC1=CC=CC2=C1OC(C)(C)O2
741-58-2	CAS-RN	DTXSID9032329	Bensulide	DTXCID7012329	741-58-2	CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)C1=CC=CC=C1
33629-47-9	CAS-RN	DTXSID3032337	Butralin	DTXCID1012337	33629-47-9	CCC(C)NC1=C(C=C(C=C1[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O
54593-83-8	CAS-RN	DTXSID2032344	Chlorethoxyfos	DTXCID0012344	54593-83-8	CCOP(=S)(OCC)OC(Cl)C(Cl)(Cl)Cl
56-95-1	CAS-RN	DTXSID7032345	Chlorhexidine diacetate	DTXCID5012345	56-95-1	ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1
3691-35-8	CAS-RN	DTXSID2032348	Chlorophacinone	DTXCID0012348	3691-35-8	ClC1=CC=C(C=C1)C(C(=O)C1C(=O)C2=C(C=CC=C2)C1=O)C1=CC=CC=C1
5598-13-0	CAS-RN	DTXSID6032352	Chlorpyrifos-methyl	DTXCID4012352	5598-13-0	COP(=S)(OC)OC1=NC(Cl)=C(Cl)C=C1Cl
105512-06-9	CAS-RN	DTXSID6032354	Clodinafop-propargyl	DTXCID4012354	105512-06-9	CC(OC1=CC=C(OC2=NC=C(Cl)C=C2F)C=C1)C(=O)OCC#C
81777-89-1	CAS-RN	DTXSID1032355	Clomazone	DTXCID9012355	81777-89-1	CC1(C)CON(CC2=C(Cl)C=CC=C2)C1=O
1134-23-2	CAS-RN	DTXSID6032356	Cycloate	DTXCID4012356	1134-23-2	CCSC(=O)N(CC)C1CCCCC1
57966-95-7	CAS-RN	DTXSID6032358	Cymoxanil	DTXCID4012358	57966-95-7	CCNC(=O)NC(=O)C(=NOC)C#N
121552-61-2	CAS-RN	DTXSID1032359	Cyprodinil	DTXCID9012359	121552-61-2	CC1=NC(NC2=CC=CC=C2)=NC(=C1)C1CC1
10222-01-2	CAS-RN	DTXSID5032361	2,2-Dibromo-3-nitrilopropionamide	DTXCID3012361	10222-01-2	NC(=O)C(Br)(Br)C#N
1194-65-6	CAS-RN	DTXSID5032365	Dichlobenil	DTXCID3012365	1194-65-6	ClC1=CC=CC(Cl)=C1C#N
119446-68-3	CAS-RN	DTXSID4032372	Difenoconazole	DTXCID2012372	119446-68-3	CC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(OC2=CC=C(Cl)C=C2)C=C1
87674-68-8	CAS-RN	DTXSID4032376	Dimethenamid	DTXCID2012376	87674-68-8	COCC(C)N(C(=O)CCl)C1=C(C)SC=C1C
97886-45-8	CAS-RN	DTXSID9032379	Dithiopyr	DTXCID7012379	97886-45-8	CSC(=O)C1=C(N=C(C(C(=O)SC)=C1CC(C)C)C(F)(F)F)C(F)F
55283-68-6	CAS-RN	DTXSID8032386	N-Ethyl-N-(2-methyl-2-propenyl)-2,6-dinitro-4-(trifluoromethyl)benzenamine	DTXCID6012386	55283-68-6	CCN(CC(C)=C)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O
4602-84-0	CAS-RN	DTXSID3032389	Farnesol	DTXCID80196591	4602-84-0	CC(C)=CCCC(C)=CCCC(C)=CCO
60168-88-9	CAS-RN	DTXSID2032390	Fenarimol	DTXCID0012390	60168-88-9	OC(C1=CC=C(Cl)C=C1)(C1=CN=CN=C1)C1=CC=CC=C1Cl
66441-23-4	CAS-RN	DTXSID2032392	Fenoxaprop-ethyl	DTXCID0012392	66441-23-4	CCOC(=O)C(C)OC1=CC=C(OC2=NC3=C(O2)C=C(Cl)C=C3)C=C1
72490-01-8	CAS-RN	DTXSID7032393	Fenoxycarb	DTXCID5012393	72490-01-8	CCOC(=O)NCCOC1=CC=C(OC2=CC=CC=C2)C=C1
131341-86-1	CAS-RN	DTXSID2032398	Fludioxonil	DTXCID0012398	131341-86-1	FC1(F)OC2=CC=CC(=C2O1)C1=CNC=C1C#N
23422-53-9	CAS-RN	DTXSID4032405	Formetanate hydrochloride	DTXCID2012405	23422-53-9	CNC(=O)OC1=CC=CC(=C1)N=CN(C)C
81405-85-8	CAS-RN	DTXSID3032412	Imazamethabenz methyl ester	DTXCID501474045	81405-85-8	-
28159-98-0	CAS-RN	DTXSID3032416	Cybutryne	DTXCID1012416	28159-98-0	CSC1=NC(NC(C)(C)C)=NC(NC2CC2)=N1
104206-82-8	CAS-RN	DTXSID7032424	Mesotrione	DTXCID5012424	104206-82-8	CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C1C(=O)CCCC1=O)[N+]([O-])=O
87392-12-9	CAS-RN	DTXSID6032431	S-Metolachlor	DTXCID4012431	87392-12-9	CCC1=C(N(C(C)COC)C(=O)CCl)C(C)=CC=C1
138261-41-3	CAS-RN	DTXSID5032442	Imidacloprid	DTXCID3012442	138261-41-3	[O-][N+](=O)\N=C1/NCCN1CC1=CN=C(Cl)C=C1
